keywords,outcome
"implied sex,swimsuit,serial killer,strong female lead,scantily clad female,cleavage,girl with glasses,river styx,poker the card game,musical instrument,english garden,fake drowning,fake parent,swimming pool,london england,death,ghost,surprise ending,death character,mysterious killer,murder investigation,buddy comedy,copycat killer,attempted murder,murder of a woman,card,tarot card,journalist,scoop,student,magician,magic,lord,investigation,strong female character,film blanc,written and directed by cast member,one word title,vaudevillian,topiary,tarot deck,stradivarius,social club,newspaper editor,manor house,grim reaper,french horn,combination lock,class differences,chinese box trick,blackmail,apparition,lie,rescue from drowning,reference to jack the ripper,mansion,attempted drowning,directed by co star,legs,cigar smoking,american in the uk,reporter,american abroad,party,deception,melodrama,murder,title spoken by character,plot twist,hairy chest,bare chested male",True
"folk singer,1960s,couchsurfing,black comedy,reference to the brooklyn bridge manhattan new york city,car hitting an animal,original story,singer,friend,new york city,winter,couch,guitar,musician,in medias res,three word title,search,loser,handcuffs,flashlight,classical music,circular staircase,reference to mesoamerica,reference to macdougal street manhattan new york city,gaslight cafe manhattan new york city,accidentally locked out of an apartment,selling a house,little boy,silvertone guitar,lost cat,reference to ortovsky,reference to murfreesboro tennessee,upper west side manhattan new york city,cold the temperature,punched in the face,hit in the face,cooking,falling asleep while driving,fog,welsh,storytelling,reference to downing street manhattan new york city,reference to far rockaway queens new york city,reference to drink to me only with thine eyes the song,photograph,stairway,reference to fort dix new jersey,breakfast cereal,professor,reference to boston massachusetts,reference to seattle washington,reference to montreux switzerland,reference to the george washington bridge new york city,reference to the brig the play,waitress,reference to fred harvey restaurant,moussaka,electrical tape,washington square manhattan new york city,intercom,thrown out of a cafe,reference to elinera arkansas,penis slur,arrest,highway patrolman,knocking on a car window,kicking,husband wife relationship,reference to new jersey,train depot,listening to a car radio,listening to music,union dues,policeman,police car,diner,bus,reference to the new york times,reference to grandma moses,heckler,uncle nephew relationship,theatrical agent,show business,crying,reference to cincinnati ohio,reference to new orleans louisiana,looking out a window,chase,pursuit,reflection in a subway window,fire escape,toilet stall,men's bathroom,snoring,sleeping,reading aloud,reading,reference to harry james,elevator,key,apology,boxer shorts,milk,doctor,borrowing money,contract,reference to flash gordon,reference to john glenn,reference to john f. kennedy jr.,underwear,alley,beating,reference to jesus christ,reference to god,sunglasses,cane,mail,lp recording,columbia records,columbia university manhattan new york city,backpack,reference to ulysses,reference to tang,secretary,reference to king midas,condom,restaurant,cafe,eating,food,snowing,snow,rain,liar,lie,telephone call,telephone,pay phone,coat,money,cigarette smoking,u.s. soldier,sleeping on the floor,drinking,drink,wine,filling station,gas station,reference to elvis presley,chicago illinois,manhattan new york city,akron ohio,applause,microphone,ginger cat,sociology professor,sociologist,no opening credits,suicide,driving a car,reference to bob dylan,brother sister relationship,father son relationship,homelessness,car collision,friendship,jewish,driving in snow,driving at night,u.s. merchant marines,audition,unwanted pregnancy,abortion,title appears in writing,greenwich village manhattan new york city,year 1961,flashback,recording studio,recording,record player,hitchhiking,pregnancy,sleeping on a couch,entering through a window,subway,cat,bar,concert,song,singing,folk music,guitar playing,guitarist,guitar player,title spoken by character,character name in title,penis",False
"death,death of brother,attempted suicide,loss of brother,last will and testament,manchester massachusetts,guardian,burning house,loss of father,death of daughter,custodian,uncle nephew relationship,death of father,crying,psychological drama,psychological,family drama,slice of life,fishing,morgue,congestive heart failure,ice hockey,depression,haunted by the past,bereavement,fire,destroyed by fire,panic attack,adoption,boating,accidental death,dead body,mother son relationship,drunkenness,husband wife relationship,nonlinear timeline,flash forward,snow,loss,brother brother relationship,actor shares last name with character,bar fight,male objectification,despair,regret,emptiness,unhappiness,tiredness,bonding,detatched,realism,true to life,sea,isolation,loneliness,estranged family member,breakdown,band,loner,anger,hopelessness,confession,forgiveness,marriage,interrogation,apology,song,sadness,celibacy,reconciliation,chicken meat,frozen meat,pantyhose,dead child,emotionlessness,hockey coach,leak,loss of son,police officer,shoveling snow,insanity,guilty conscience,prodigal son,homecoming,handyman,friend,janitor,hospital,alcoholic mother,funeral,fishing boat,grief,boat,burial,bar,reference to star trek,ambulance,graveyard,female editor,teenage sexuality,bra,bra and panties,girl in bra and panties,girl in bra,girl in underwear,teenage girl in underwear,suicide attempt,destroyed home,plumbing,engine trouble,f word,awkward silence,heart condition,heart failure,high school,clearing snow,fishing pole,man crying,boxer shorts,male underwear,man undressing,bare chested male,dumpster,clogged toilet,city name in title,awkwardness,mother son reunion,doctor,memory,photograph,little girl,boston massachusetts,looking for a job,pretending to do homework,teenage band,refrigerator,reference to jesus christ,beer,flashback,pain,cold the temperature,blood,hit in the face,facial wound,bloody nose,baby boy,pregnancy,fight,catholic,christian,mother daughter relationship,teenage sex,teenage girl,teenage boy,friendship,boyfriend girlfriend relationship,repair man,death of son,independent film",True
"chopsticks the song,wish,new york city,carnival,body switching,face on a milk carton,walking on piano keys,carnival wishing machine,unplugged electronic works,fish out of water,bunk bed,limousine,trampoline,f.a.o. schwartz manhattan new york city,title spoken by character,f rated,dancing,fortune telling machine,whimsical,job,teenage boy,toy,friend,best friend,switching bodies,body swap,body transformation,child,one word title,loss of virginity,sex,do over,1980s,birthday song,birthday party,title directed by female,silly string,bronx new york city,what if,male female relationship,walking piano,thirty something,shaving cream,ring,pinball machine,piano player,office,loft,kiss,gunshot,co worker,classmate,childhood friend,manhattan new york city,yankee stadium bronx new york city,lifting someone into the air,boyfriend girlfriend relationship,bare chested male,role reversal,friendship,coming of age,child's point of view,career,age difference,affection,adolescence,underwear,tap dancing,quarter,police,piano duet,office party,new toy,neighbor,mother son relationship,mirror,male underwear,hotel,home,hairy chest,employer employee relationship,duet,cheap hotel,boss,bicycle,basketball,piano,job promotion,hope,homesick,wish fulfillment,baseball game,walkie talkie,toy store,racquetball,game,toy making,blockbuster,toy maker,child as an adult,funfair,marketing,seduction,bully",False
"mentor,corporate greed,real estate,watching tv,reference to star wars,reference to superman,reference to google,reference to yogi bear,reference to shakespeare,2000s,year 2001,mother son relationship,nurse,finance,finance industry,hospital,businessman,rival,rivalry,stocktrader,stockbroker,stock market,financial market,economic recession,stock market crash,energy,alternative energy,slow motion scene,news report,time lapse photography,aerial shot,montage,sequel to cult favorite,scene before opening credits,scene during opening credits,scene during end credits,surprise during end credits,media coverage,subway station,hit by a train,death of mentor,federal reserve,southern accent,reconciliation,revenge,redemption,employee employee relationship,employer employee relationship,fired from the job,dog,boyfriend girlfriend relationship,realtor,bubble,website,internet,subjective camera,character's point of view camera shot,fraud,corporate fraud,hedge fund,hedge fund manager,apartment,spiral staircase,mansion,swimming pool,sunglasses,sports car,brooklyn bridge,friendship,long island new york,cell phone,computer,gymnasium,boxing gym,boxing ring,cigarette smoking,gossip,motorcycle,trust,recreational vehicle,woods,forest,helicopter,jewish american,london england,tower bridge london,zurich switzerland,american abroad,american in the uk,check,bald man,deception,betrayal,money clip,wristwatch,ring,laboratory,scientist,professor,flashback,flash forward,trust fund,suspicion,product placement,heavy rain,taxi,restaurant,fundraiser,party,chinese,subtitled scene,bilingualism,tailor,computer disc,pregnancy,pregnant woman,suit and tie,engagement ring,photograph,british actor playing american character,character repeating someone else's dialogue,painting,jewelry store,nightclub,drugged drink,russian,father daughter estrangement,fusion,mentor protege relationship,speculation,bailout,investment banking,investment bank,investment banker,manipulation,panic,loss of job,anger,hatred,corrupt businessman,corruption,corporate corruption,birthday party,birthday,investigation,fear,paranoia,man with glasses,moral hazard,fusion technology,consumerism,central park manhattan new york city,corporate raider,close up of eyes,21th century,woman,greed,crisis,economy,money,split screen,business,bloomberg terminal,colon in title,five word title,lecture,negotiation,two on a motorcycle,newscast,limousine,starts with narration,year 2008,subway,cancer metaphor,financial speculation,envy,competitiveness,deregulation,consumer debt,marriage proposal,corporate bailout,bubble economy,ambition,lost technology,insider trading,chance versus design,cambrian explosion,nervousness,release from prison,ex convict,father daughter relationship,rumor,investor,dialogue driven,claim in title,young man,round table,old man,chopper,skyscraper,skyline,capitalist,capitalism,swiss bank account,cigar smoking,book signing,sonogram,pregnant girlfriend,double cross,motorcycle race,jumping in front of a train,suicide,street in title,place name in title,new york city,manhattan new york city,wall street manhattan new york city,second part,sequel,surprise ending,heineken beer",False
"mexico,marriage,love,nudity,pubic hair,male pubic hair,magical realism,erotica,brother in law sister in law relationship,male nudity,forbidden love,rolling up a rug,broth,dead boy,flower,guitarist,hand,domineering mother,thunderstorm,hymn,birth,fritter,person on fire,necklace,invitation,wedding,wedding cake,cooking,brother in law sister in law sex,home birth,breasts,kiss,bare chested male,table,bare breasts,sex scene,f rated,vomiting,wooden spoon,widower,wet nurse,wedding night,wedding banquet,water,watermelon,virginity,vinegar,towel,tortilla,torch,tombstone,toast,tepezcohuite,surgical operation,stray bullet,star,sister sister relationship,sergeant,sensuality,san antonio texas,sacrifice,runaway,rose sauce,river,rio grande mexico,rifle,revolution,recipe,ranch,quail,prostitute,priest,premature birth,pregnancy,pleasure,piedras negras mexico,photograph,phosphorus,passion,party,overweight,onion,mulatto,mother son relationship,mole the food,mint leaf,martyr,marriage proposal,marriage engagement,lightning,knitting,kitchen,kikapu,kidnapping,jealousy,ironing,insanity,illness,ice,husband wife relationship,hot chocolate,horse,hit with a wooden spoon,harmonica,guitar,grief,graveyard,grandmother grandson relationship,general,funeral,flashback,flash forward,fire,female soldier,federale,father son relationship,family tradition,fainting,experiment,emetic,eagle pass texas,drunkenness,dough,dog,doctor,digestion,diet,diarrhea,death,death of wife,death of lover,death of husband,death of grandson,deafness,dancing,dancer,curse,crying,cross,cook,cookbook,coffin,cocoa,church,chorizo,chocolate,childbirth,cemetery,catholic,candle,cake batter,burn wound,bullet,brothel,broken glass,breast feeding,boyfriend girlfriend relationship,bonfire,boat,birth certificate,bathtub,bathroom,band,baking,bad breath,baby,aunt niece relationship,aunt nephew relationship,alchemy,accordion,voice over narration,supernatural power,shower,rape,mother daughter relationship,actual animal killed,food as sex metaphor,film with ambiguous title,gourmet,mexican revolution,gang rape,flatulence,heart attack,dying during sex,female nudity,female frontal nudity,1930s,1890s,ghost,suicide,self immolation,1910s,adultery,death of son,death of mother,death of father,based on novel",False
"boy,school,teacher,boarding school,choir,french countryside,musician,single mother,orphan,song,children,gate,discipline,boy with glasses,teenage boy,choir boy,13 year old,intrigue,little boy,suicide by jumping,dormitory,unity,liar,lie,theatre audience,gratitude,laundry,secret code,miracle,mythomania,self destructiveness,druss fable,rosette,satchel,music conservatory,engineer,countess,ink,school sport,arithmetic,binet simon test,rorschach,psychiatrist,justice,hot air balloon,boys' dormitory,cut by scissors,police,coffin,graveyard,cemetery,breaking a glass window,burial,child abuse,american flag,hospital,toothache,dentist,optimism,joy,hope,head injury,face injury,suicide by jumping off a building,jumping off a building,suicide,shower,nurse,class,classroom,concert,boys reformatory,reformatory,fired from the job,storytelling,cruelty,school detention,bus,rehearsal,voice over narration,rain,headmaster,photograph,photographer,face slap,beating,pride,forgiveness,running,family relationships,father daughter relationship,father son relationship,robbery,thief,boy singer,flashback,cigarette smoking,local blockbuster,remake,genius,singing,classical music,boy soprano,1940s,boys' school,boys' choir,violence,theft,skeleton,singer,racketeering,paper airplane,orchestra,mother son relationship,madness,injustice,forest,fire,school expulsion,dunce,music conductor,chorus,childhood,arson,death of mother,masturbation,teacher student relationship,new york city,brother sister relationship",False
"name in title,male objectification,male name in title,idol,homoeroticism,homoerotic friendship,cmnm,cmnm scene,clothed male naked male,taking a bath,man in bathtub,bare chested male,nihilism,pessimism,based on a novel,train robbery,assassination,no title at beginning,no opening credits,kansas city missouri,photo studio,hero worship,19th century,betrayal,reference to p.t. barnum,reference to james garfield,colt 45,reference to jezebel,reference to mark twain,reference to william quantrill,reference to dick turpin,knocked unconscious,secret identity,theatre production,theatre audience,st. joseph missouri,revenge,pinkerton agent,photographer,palm sunday,older man younger woman relationship,mother son relationship,mother daughter relationship,knife held to throat,killing a snake,johnny reb,husband wife relationship,gun held to head,good friday,frozen lake,frozen hand,friendship,father daughter relationship,family relationships,drunkenness,creede colorado,cold blooded killer,brother sister relationship,blu city missouri,celebrity criminal,father son relationship,sociopath,shot in the head,rainstorm,last supper,depression,brother brother relationship,bank robbery,american civil war,suicide by gunshot,shot in the leg,shot in the hand,shot in the foot,shot in the back,male rear nudity,male nudity,cowardice,cousin cousin relationship,april fool's day,amazing grace hymn,male female relationship,character name in title",True
"film within a film,1930s,movie theater,film industry,entering movie via screen,movie reality crossover,actor meets character,fictional character comes to life,character talks to audience,black servant,amusement park,ferris wheel,popcorn,metafiction,movie screen,demanding money back,studio executive,actor playing dual role,movie star,getaway car,carousel,fistfight,tap dancing,dancing,love,diner,marriage,actor,reference to fatty arbuckle,happiness,tragedy,champagne,sadness,guilt,dysfunctional marriage,restaurant,airplane,urban setting,unhappy ending,magical realism,escapism,talking to the camera,surrealism,nostalgia,movie fan,dual role,city name in title,color in title,movie studio,innocence,deception,abusive husband,ukulele,satire,disillusionment,unemployment,roller coaster,prostitute,nightclub,brothel,husband wife relationship,actress,spectator,hit in the crotch,great depression,hollywood california,independent film,new jersey,waitress,five word title,reference to charles lindbergh",False
"best friend,father daughter relationship,mother daughter relationship,mumblecore,dancer,apartment,dance company,apprentice,twenty something,urban setting,tickling,aspiring dancer,play fight,friendship gone bad,male female friendship,waitress,college,friendship between women,airport,restaurant,dance show,weekend trip,group of friends,busking,big city,city,city park,optimism,optimist,dating,27 year old,modern dance,roommate,breakup,poughkeepsie new york,vassar college,sacramento california,new york city,paris france,friendship,new yorker,work,appartment mailbox,mailbox,apartment building,subway station,public urination,barefoot,pouring wine,wine drinking,urination,shared bed,shared apartment,new apartment,automated teller machine,boyfriend girlfriend relationship,headphones,awakened by alarm clock,alarm clock,money,japan,subway,telephone call",True
