review,outcome
"better than I expected I went to the movie theater this afternoon expecting to be underwhelmed by Scoop. Happily, the film exceeded expectations, at least a little bit. Its nothing heavy, nothing deep  and not anywhere as good as any number of real Allen masterpieces  but its also completely enjoyable as a light, bantering comedy. Theres something kind of simple and sweet about it. Cute was the word I heard from people in the audience as they were walking out after the show. It doesnt feel like Allen set out to create a masterpiece here, it feels like he wanted to make a little comedy and have fun doing it. Compared to just about everything Hollywood is producing, Allens stuff has a tendency to charm. Even the fluffy stuff. These days its just refreshing to go to a movie made by an actual human being.",True
"Once you let this film sink in, it turns out to be very rewarding If it was never new, and it never gets old, then its a folk song.The Coen brothers have worked together over the past couple of decades delivering some inspiring work. Their films are extremely varied (ranging from dark comedies to westerns or thrillers) and that is why people rank their films so differently according to their own genre preferences. What these films tend to have in common is that they focus on an unfortunate main character (the Coen brothers dont seem to be too interested in successful characters) and they also include a lot of quirky characters. The Coens are also great at writing interesting characters that despite being unpleasant at times still capture our attention, and they also include a lot of dark and sharp humor. Inside Llewyn Davis is one of those films where we are forced to follow an unpleasant guy in the course of a week and somehow hope he recovers and achieves his goal. This is a film that you probably enjoy more when you think about it once its over or on a rewatch because its philosophical and sad, but rewarding none the less if you stick through it. It is also open to many readings and interpretations. You can think of this as being an honest film about someone who doesnt achieve his dreams. Weve been saturated with so many films that focus on following our dreams and never giving up on them, but it is rare to see a film focusing on someone who doesnt achieve them. Like Llewyn, we sometimes throw away other possibilities for success because we are too blinded on pursuing our own thing. That is exactly what happens here (and in this way it differs from A Serious Man where the main character suffers misfortune from things that he cant control). Llewyn couldve listened and taken good advice, but hes so narcissistic and blinded by his own ambition that he misses several good opportunities. Another way you can read this film, and this is the one that worked best for me, is that Llewyn is learning to cope with the loss of his partner. He was a better singer when he wasnt on his own and now that he has lost his partner he doesnt seem to know what to do next. He is a tortured artist struggling to cope with grief. Its as if the Coens were admitting that they wouldnt know how to make films without each other. They inspire one another and that is where their success relies. Perhaps if something would happen to one of them they would feel like Llewyn, lost and unable to move on. This is just brilliant filmmaking and the Coens prove once again that they are on top of their game.The film takes place in the course of one week as we follow a struggling folk singer named Llewyn Davis (Oscar Isaacs) across Greenwich Village in the winter of 1961. He has recently released a solo album that isnt selling. With no money and no apartment, Llewyn spends his days jumping from couch to couch at friends houses while performing small gigs at local Cafes. One of the places he crashes in is at fellow musicians, Jim (Justin Timberlake) and Jeans (Carey Mulligan) apartment. Llewyn isnt really a guy anyone wants to be around much, but he continues to pursue his dream of becoming a solo artist. In a way hes his own worst enemy as many of the obstacles he faces are his own doing. Im not a fan of depressing films, but somehow the Coens captured my attention through their smart script and beautifully constructed film. The gray cinematography is gorgeous and really sets the melancholic tone of the film. Somehow despite not liking Llewyn, Isaacs manages to portray his character so well that we do root for him and want him to succeed. Its an impressive film that succeeds thanks to Isaacs heartfelt performance. We also get to meet some of the quirky characters that the Coens always include in their films. John Goodman and Garrett Hedlund were the chosen ones this time around and they both added the dark humor in this otherwise sad and melancholic film. The soundtrack is also a lot of fun to listen too and Isaacs has a great voice.",False
"By the Sea Placed in charge of his teen nephew after his brother passes away, a morose handyman confronts inner demons and reevaluates his life in this downbeat drama starring Casey Affleck. The film gets off to a solid start as we witness Afflecks humdrum existence and the moody residents who he has to deal with. As the film progresses though, it adopts a stream of consciousness narrative style, flipping back and forth between Afflecks memories and the present day as he processes his brothers death and his new role in his nephews life. This provides an emotional wallop at one point as we discover just what happened to his doting daughters, but generally speaking, the flipping back and forth in time is unhelpful, subtracting from the immediacy of the drama unfolding. The film also grows repetitive as the same issues are debated between uncle and nephew time and time again. There are some really good touches late in the piece though (Affleck imaging his daughters; a confrontation with Michelle Williams) and the entire project is shot with thought and consideration; the way Affleck is only ever visible in the background when we first see the grownup nephew at an ice rink works very well. Still, it is hard not to expect a little more from an Oscar winning film and though solid a movie as it is, it would be interesting to see the film play out in chronological order instead.",True
"Growing up as a lesson of life This movie is great. I mean, really. Thats what every boy dreams of  becoming an adult overnight! Its absolutely gorgeous to see Tom Hanks performance  thats real acting, it requires a lot to play this part as genuinely and cordial as he did. The message is so clear and so honest. The nostalgic edge is of such profound significance to the story. Its about the differences between being a kid and being an adult. Its about two very different perceptions of the same world that surrounds us. Its just us and how we make the best out of every day of our lives, and all it needs is to see the world through the eyes of a kid. A kid perceives all the things differently, with much more native and modest simplicity  the keystone to imagination and magic, the keystone to cherish the daily miracles in our lives. This movie has a deep and very pervasive message. It has so much charm and vitality mingled with nostalgia and witchcraft. One of those movies I enjoyed watching when I was a kid. Recommended.",False
"Another Part Two That Doesnt Live Up to The Original I was looking forward to seeing what Oliver Stone & the ensemble he got together could do with an updated version of an even greedier Wall Street that was gambling with obscene amounts of money & making their own rules that the S.E.C. didnt do anything about or even try to understand it seems.I was very disappointed. This follow up didnt fare well against the original...which is almost always the case. But with Stone directing again & Douglas in again...I thought this may have a chance. Some part 2s are just laughable...I guess they make money or they would stop doing them. The big exception of course was The Godfather part 2.Anyway  this movie just didnt have the snap, crackle & pop of the original. And I think the movie spent way too much time on the Jake & Winnie relationship played by Shia La Beouf (wasnt that Glenn Campbells name in the original True Grit, well....maybe it was La Beef) & Carey Mulligan. By the way...very sad about Campbells Alzheimers admission.When I saw this movie I knew that La Beouf had been in a lot of Hollywood movies & must have been well thought of....but it was the 1st movie I had seen him in. I thought he did OK with the part he was given. But Mulligan was such an annoying character as Winnie....or was it Whiney? Every time she was in a scene it was like fingernails on a blackboard. Did anybody else feel that way about Mulligans performance? And as others have said...the ending was just not very good.",False
"A cookbook turned fairy tale Usually when I read a book, I am disappointed by the movie; there is so much more in the written word than can be put on screen.  And when I see a movie I never want to read the book afterwards.  This was the first movie that I read the book after seeing the movie; Como Agua Para Chocolate is THAT good a movie!  And the book is WONDERFUL! The fairy tale aspect of this movie is told subtly, but with a strong Hispanic sense of mysticism you have the evil (step)mother, the heroine as Virgin Mary, who has magical powers, unrequited love, the unobtainable prince, and other classic fairy tale elements.  This combines with the real elements of the Mexican Revolution and old world family practices revolving around family relations, martimony, and most of all cooking.  Food plays a major role in this movie, but even more so in the book. I recommend both the book and the movie.",False
"Caged birds sing Theres an air of romance surrounding wayward boys, particularly in the French tradition, where they tend to be poetic as well as mischievous. In The Chorus, Christophe Barratier draws on this tradition and adds some lovely vocal sounds. The Chorus is about an internat or reform school where a new principal who writes music tames his young charges, some naughty, some just abandoned, by teaching them to sing in a boys chorus. The school director, Rachin (sounds like Nurse Ratched), François Berléand (of Jacquots The School of Flesh), is a prissy sadist who preaches a philosophy of instant punishment for all real or imagined wrongdoing (actionreaction); but when the new principal, Clément Mathieu (Gérard Jugnot) shows up with a soft approach to his classes and his supervisory duties, he finds allies among the faculty and staff.The Chorus advances the frequently screened theory that delinquent kids are better charmed than chastened; that if you can find a positive activity they excel in, the misbehavior will die out.Barratier has had good success with his young actors. The most important boy is the tête dange (head of an angel), tall, fairhaired Morhange (Jean Baptiste Maunier), whos often in trouble and refuses to join the choir, till Mathieu catches him singing by himself and discovers his star soloist. Morhanges voice possesses not only a rich natural musicality but the haunting purity only boy sopranos have. Morhange has the most attractive mother, and Mathieus success in encouraging the boys singing makes the pudgy, bald man fantasize romance with her  thus incidentally clearing himself of the suspicion of pedophilia that tends to haunt any allboys school setting. Mathieus romantic dream is futile, and he humbly fades away at the storys end, like some Gallic pied piper of boy sopranodom.The Chorus takes place in postwar France and its topic and look establish immediate links with a bevy of seminal French films. Wayward French boys turn up in boarding schools that are places of both repression and refuge, as you can see in Jean Vigos school revolution in Zero for Conduct (1933). The beloved textbook of the French badboy tradition is Alain Fourniers Le Grand Meaulnes (The Wanderer), which was notably filmed by Jean Pierre Albicocco in 1967. The tradition becomes more autobiographical in Truffauts 1959 400 Blows, which introduced the directors alter ego, Jean Pierre Léaud; and in Malles moving and longcontemplated memoir of a boarding school in wartime, Au Revoir les Enfants (1987). Jean Cocteau mythologized a badboy idol who haunted him all his life in the Dargélos of Les Enfants Terribles (1950), made into yet another classic film by Jean Pierre Melville. This whole idea has remaining traces in the feral youth Gaspard Ulliel plays in André Téchinés recent Strayed. The Chorus, it is true, is a relatively conventional entry; except for adding music, it rides upon, rather than transcends, the tradition. But its a warm story with much charm and little pretension.Barratier himself is a talented musician who, like Mathieu, has drifted into other things. A trained classical guitarist, he won several international competitions after studying at the prestigious École Normale de Musique in Paris, and played professionally for several years. But in 1991 he joined Galatée films to train under his uncle, the renowned actor, producer and writer Jacques Perrin  who bookends The Chorus as a Morhange who has grown up into a famous classical conductor. For the next decade Barratier was an associate producer and collaborated with Perrin on Children of Lumière, Microcosmos, Himalaya and Winged Migration. Now he has turned his hand to fiction and directed his own film, with success. There is a risk of preciosity and sweetness, mostly avoided by the dryness of both Mathieu and Rachin as characters, as well as the surviving wickedness of the boys, especially an arch badboy, Mondain (Grégory Gatignol). The point of view is Mathieus and the mature Morhanges, so the film doesnt go as deep into the boys psyches as it goes into their voice boxes.The director is well connected. Hes the son of film actress Eva Simonet and besides his uncle his grandparents were also theater people. The Chorus was top box office in France after its release in March 2004. The French critical reception was pretty mixed, and the films been reviled by some in the United States as (in one writers words) unbelievably inane, saccharine, and derivative; all smooth, nutrientfree clichés. Even thumbsup king Roger Ebert didnt like it: this feels more like a Hollywood wannabe than a French film, he wrote. Wheres the quirkiness, the nuance, the deeper levels? But its really a cleanly made, simple, humanistic, and satisfying little film with far less pandering than its critics claim, and whether we like it or not, its the French Best Foreign Oscar entry, and the little chorus is likely to perform  Vois sur ton chemin on Awards night (if their voices havent changed). The relatively minimal miseenscène and the period setting link it more with its classic film antecedents than with the overproduced Very Long Engagement (Jeunets films Oscar nominations are for décor and photography). Derivative and conventionally themed? Yes. Barratier has acknowledged The Choruss inspiration in an earlier film, La Cage aux Rossignols (The Nightingales Cage, 1945), which has the same premise  and anyone can name a long list of movies about teachers who charm their wayward flock. None of them feels  or sounds  quite like this movie, though. And the boys do their own singing: the tête dange really has the voix dange. American reviewers, missing the nuances, plug Les Choristes into Mr. Hollands Opus or Dead Poets Society and find it stereotypically schmaltzy. The gentler French critics dont see those crude comparisons and are able to call it un beau film and find in it a satisfying example of cinéma populaire. We can too if we open up to it.",False
"Casey Afflecks best work to date Casey Afflecks has officially come into his own. Fantastic performance! Brad Pitts performance complex and stunning as usual. Brad does not shy away from the real roles and proves time and time again what a brilliant actor he is. Roger Deakins shots are stunning, capturing the true beauty that lies within the Canadian rockies. The artistic shots through the old style glass is fantastic. Score is very unorthodox yet amazingly effective.The only downside to the film many say is the running time, but I admire that Andrew allowed for the performances of the actors to be the showcase. Many scenes with not a lot of background music, just the intense performances.",True
"A Classic Woody picture, one of my favorites of his Woody Allens Purple Rose of Cairo is a brilliant piece of filmmaking. He combines drama, comedy and even a little bit fiction (people jumping out of movie screens into the real world). Its a great story involving a woman with marital problems played superbly by Mia Farrow. Here Farrow gives one of her best performances, much better than she was in a film i recently viewed called Shadows and Fog. Jeff Daniels is also good in his role as the movie character who comes into the real world, as well as the actor who plays that role. This is by far one of the most complex yet well written Woody Allen flicks. All the performances are good as well as the direction and writing, almost everything is perfect. A mustsee for any Woody fan.10/10 #60 on my list of alltime favorite films",False
"Shorn of the irrelevant, this is beautiful, touching, real Frances Ha (2012)I liked this film in a kind of interested, warm way as it got going. Its black and white simplicity and its regular people both appeal on the most normal level. The more I watched, however, and the more I absorbed the brilliance of the performance by leading actress playing Frances (Greta Gerwig), I became entranced and stunned. This is a great film. A great independent film, without production pretensions, but held together perfectly within its means.This is worth making clear—the film makes a virtue of its simple approach. Youll never feel like its technically compromised. The photography is a subtle, smart black and white. Theres even one scene near the end where two people are talking in bed and they chose to use the very minimum of light, so you just barely see their faces. For a long deep conversation. Gorgeous, and effective.Its Gerwig who steals the movie, for sure. And she helped write the really sparkling, believable, clever but never tooclever script. Its brilliant stuff. Brilliant. She hits a note of fast transparency, a totally right dialog and delivery. Way harder than it seems.And the character she plays, Frances, is one of those lovable types where things dont go quite right even with all the best intentions. Most of us identify with that all too well. We have our better selves and we have the reality of where those good intentions have gotten us. And yet she perseveres. She puts up with strange but not unfriendly people around her in one apartment after another, and we get a glimpse of young New Yorkers with all their minor pretensions. Searing and funny and touching.Dont be put off by the weird title (the one mistake in making the film) or by the beginning and its slow, restrained monochrome. The film makes the most of it all and is terrific.",True
